,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Valdivia,CL,-39.8142,-73.2459,59.09,98,45,5.08,scattered clouds
297,Camacha,PT,33.0833,-16.3333,56.62,63,75,8.05,broken clouds
298,Ambilobe,MG,-13.2,49.05,71.22,94,94,1.61,overcast clouds
299,Miramar,US,25.9873,-80.2323,77.04,77,100,18.41,overcast clouds
300,Pointe Michel,DM,15.25,-61.3833,77.31,75,6,22.1,clear sky
301,Diego De Almagro,CL,-26.3667,-70.05,65.82,59,0,2.1,clear sky
302,Port Lincoln,AU,-34.7333,135.8667,64.56,69,82,17.65,broken clouds
303,Hami,CN,42.8,93.45,47.75,22,97,3.27,overcast clouds
304,Mackay,AU,-21.15,149.2,94.68,70,100,10.36,light rain
305,Elbistan,TR,38.2059,37.1983,36.57,89,100,1.16,overcast clouds
306,Praxedis Guerrero,MX,31.3667,-106.0167,59.85,14,0,13.87,clear sky
307,Lusambo,CD,-4.9667,23.45,69.71,99,100,1.39,overcast clouds
308,Kenai,US,60.5544,-151.2583,38.03,57,0,9.22,clear sky
309,Porto Novo,BJ,6.4965,2.6036,82.22,82,20,5.95,few clouds
310,Omboue,GA,-1.5746,9.2618,79.05,86,100,2.26,overcast clouds
311,Butembo,CD,0.15,29.2833,58.23,90,7,3.58,clear sky
312,Ahipara,NZ,-35.1667,173.1667,75.16,62,100,7.4,overcast clouds
313,Ancud,CL,-41.8697,-73.8203,56.23,93,84,15.93,light rain
314,Sinnamary,GF,5.3833,-52.95,75.06,90,100,9.08,moderate rain
315,Pemangkat,ID,1.1667,108.9667,79.02,85,100,3.89,overcast clouds
316,College,US,64.8569,-147.8028,29.07,69,75,10.36,broken clouds
317,Hervey Bay,AU,-25.2986,152.8535,83.03,81,98,16.87,moderate rain
318,Tutoia,BR,-2.7619,-42.2744,74.95,96,100,5.26,overcast clouds
319,Ouadda,CF,8.0777,22.4007,72.73,19,100,3.96,overcast clouds
320,Saint-Joseph,RE,-21.3667,55.6167,75.58,84,99,14.74,overcast clouds
321,Lagoa,PT,39.05,-27.9833,53.04,81,7,46.51,clear sky
322,Dharchula,IN,29.85,80.5333,58.59,40,100,5.66,overcast clouds
323,Sola,VU,-13.8833,167.55,83.41,71,20,4.54,few clouds
324,Santa Rosa,PH,14.3122,121.1114,82.38,67,100,6.2,overcast clouds
325,Thompson,CA,55.7435,-97.8558,15.96,79,20,4.61,few clouds
326,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,75.25,92,100,6.71,overcast clouds
327,Dallas,US,32.7668,-96.7836,63.55,68,75,19.57,broken clouds
328,Mandera,KE,3.9366,41.867,76.32,65,44,13.11,scattered clouds
329,Birjand,IR,32.8663,59.2211,50.47,20,100,6.91,overcast clouds
330,Emerald,AU,-23.5333,148.1667,90.34,23,0,5.75,clear sky
331,Bastia,FR,42.6667,9.3333,47.3,55,75,3.44,broken clouds
332,Camargo,MX,27.6667,-105.1667,70.36,7,31,16.22,scattered clouds
333,Igarka,RU,67.4667,86.5833,-26.59,98,16,6.96,few clouds
334,Severo-Yeniseyskiy,RU,60.3725,93.0408,7.16,94,100,3.69,overcast clouds
335,Constitucion,CL,-35.3333,-72.4167,56.95,92,3,3.42,clear sky
336,Segovia,ES,41.1667,-4.0,38.05,82,93,3.76,overcast clouds
337,Contrecoeur,CA,45.8501,-73.2325,50.38,87,100,8.05,overcast clouds
338,Barentu,ER,15.1139,37.5928,72.97,49,15,3.56,few clouds
339,Guerrero,MX,17.6667,-100.0,66.45,69,1,5.64,clear sky
340,Lhokseumawe,ID,5.1801,97.1507,79.97,79,100,0.27,overcast clouds
341,Nome,US,64.5011,-165.4064,21.27,86,100,14.97,overcast clouds
342,Maunabo,PR,18.0072,-65.8993,76.69,82,56,16.8,broken clouds
343,Bartica,GY,6.4,-58.6167,75.52,99,57,2.66,broken clouds
344,Saint Anthony,US,45.0205,-93.218,29.25,84,75,11.5,broken clouds
345,Rafaela,AR,-31.2503,-61.4867,76.05,69,14,1.01,few clouds
346,Faanui,PF,-16.4833,-151.75,81.68,72,63,13.04,light rain
